Date : 2023-03-19 19:02:53
Directory : /Users/bruno1388/Desktop/trans/server/src
Total : 79 files,  2416 codes, 273 comments, 448 blanks, all 3137 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         79 |      2,416 |        273 |        448 |      3,137 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/bruno1388/Desktop/trans/server/src/users/dtos/User.dto.ts                     | TypeScript |         11 |          1 |          2 |         14 |
| /Users/bruno1388/Desktop/trans/server/src/users/dtos/UserValidation.dto.ts           | TypeScript |         59 |         29 |         25 |        113 |
| /Users/bruno1388/Desktop/trans/server/src/users/entities/Friend.entity.ts            | TypeScript |         28 |          2 |          7 |         37 |
| /Users/bruno1388/Desktop/trans/server/src/users/entities/User.entity.ts              | TypeScript |         46 |         10 |         19 |         75 |
| /Users/bruno1388/Desktop/trans/server/src/users/friend/friend.module.ts              | TypeScript |         15 |          0 |          3 |         18 |
| /Users/bruno1388/Desktop/trans/server/src/users/friend/friend.service.ts             | TypeScript |         94 |          0 |          7 |        101 |
| /Users/bruno1388/Desktop/trans/server/src/users/users.controller.ts                  | TypeScript |         87 |         28 |         12 |        127 |
| /Users/bruno1388/Desktop/trans/server/src/users/users.module.ts                      | TypeScript |         14 |          0 |          2 |         16 |
| /Users/bruno1388/Desktop/trans/server/src/users/users.service.ts                     | TypeScript |         70 |         22 |         17 |        109 |
| /Users/bruno1388/Desktop/trans/server/src/utils/types.ts                             | TypeScript |         36 |          6 |          6 |         48 |
| Total                                                                                |            |      2,416 |        273 |        448 |      3,137 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
